Name,Url,PFS Legality,Rarity,Traits,Category,Subcategory,Level,Price,Bulk,Spoilers?
Juggling Club,https://2e.aonprd.com/Weapons.aspx?ID=111,—,Uncommon,"Agile, Nonlethal, Thrown",Weapons,Base Weapons,0,0.1,L,Extinction Curse
Monkey's Fist,https://2e.aonprd.com/Weapons.aspx?ID=130,—,Common,"Finesse, Monk, Nonlethal",Weapons,Base Weapons,0,0.1,—,Agents of Edgewatch
Religious Symbol (Wooden),https://2e.aonprd.com/Equipment.aspx?ID=41,,Common,—,Adventuring Gear,—,0,0.1,L,—
Sap,https://2e.aonprd.com/Weapons.aspx?ID=37,,Common,"Agile, Nonlethal",Weapons,Base Weapons,0,0.1,L,—
Scourge,https://2e.aonprd.com/Weapons.aspx?ID=89,,Common,"Agile, Disarm, Finesse, Nonlethal, Sweep",Weapons,Base Weapons,0,0.1,1,—
Shield Sconce,https://2e.aonprd.com/Equipment.aspx?ID=875,,Uncommon,—,Adventuring Gear,—,0,0.1,—,—
Spear,https://2e.aonprd.com/Weapons.aspx?ID=10,,Common,Thrown,Weapons,Base Weapons,0,0.1,1,—
Whip,https://2e.aonprd.com/Weapons.aspx?ID=48,,Common,"Disarm, Finesse, Nonlethal, Reach, Trip",Weapons,Base Weapons,0,0.1,1,—
Writing Set (Extra Ink and Paper),https://2e.aonprd.com/Equipment.aspx?ID=63,,Common,—,Adventuring Gear,—,0,0.1,L,—
Bo Staff,https://2e.aonprd.com/Weapons.aspx?ID=17,,Common,"Monk, Parry, Reach, Trip",Weapons,Base Weapons,0,0.2,2,—
Dagger,https://2e.aonprd.com/Weapons.aspx?ID=3,,Common,"Agile, Finesse, Thrown, Versatile",Weapons,Base Weapons,0,0.2,L,—
Gauntlet,https://2e.aonprd.com/Weapons.aspx?ID=4,,Common,"Agile, Free-Hand",Weapons,Base Weapons,0,0.2,L,—
Grappling Arrow,https://2e.aonprd.com/Equipment.aspx?ID=871,,Uncommon,—,Adventuring Gear,—,0,0.2,L,—
Grappling Bolt,https://2e.aonprd.com/Equipment.aspx?ID=872,,Uncommon,—,Adventuring Gear,—,0,0.2,L,—
Lock (Poor),https://2e.aonprd.com/Equipment.aspx?ID=30,,Common,—,Adventuring Gear,—,0,0.2,—,—
Merchant's Scale,https://2e.aonprd.com/Equipment.aspx?ID=34,,Common,—,Adventuring Gear,—,0,0.2,L,—
Nunchaku,https://2e.aonprd.com/Weapons.aspx?ID=57,,Uncommon,"Backswing, Disarm, Finesse, Monk",Weapons,Base Weapons,0,0.2,L,—
Padded Armor,https://2e.aonprd.com/Armor.aspx?ID=3,,Common,Comfort,Armor,Base Armor,0,0.2,L,—
Poi,https://2e.aonprd.com/Weapons.aspx?ID=112,—,Uncommon,"Agile, Backswing, Finesse, Nonlethal",Weapons,Base Weapons,0,0.2,L,Extinction Curse
Saddlebags,https://2e.aonprd.com/Equipment.aspx?ID=46,,Common,—,Adventuring Gear,—,0,0.2,—,—
Sickle,https://2e.aonprd.com/Weapons.aspx?ID=9,,Common,"Agile, Finesse, Trip",Weapons,Base Weapons,0,0.2,L,—
Tekko-kagi,https://2e.aonprd.com/Weapons.aspx?ID=101,,Uncommon,"Agile, Disarm, Finesse, Parry, Trip",Weapons,Base Weapons,0,0.2,L,—
Caltrops,https://2e.aonprd.com/Equipment.aspx?ID=9,,Common,—,Adventuring Gear,—,0,0.3,L,—
Katar,https://2e.aonprd.com/Weapons.aspx?ID=14,,Uncommon,"Agile, Deadly, Monk",Weapons,Base Weapons,0,0.3,L,—
Light Hammer,https://2e.aonprd.com/Weapons.aspx?ID=29,,Common,"Agile, Thrown",Weapons,Base Weapons,0,0.3,L,—
Manacles (Poor),https://2e.aonprd.com/Equipment.aspx?ID=32,,Common,—,Adventuring Gear,—,0,0.3,—,—
Spiked Gauntlet,https://2e.aonprd.com/Weapons.aspx?ID=11,,Common,"Agile, Free-Hand",Weapons,Base Weapons,0,0.3,L,—
Thieves' Tools (Replacement Picks),https://2e.aonprd.com/Equipment.aspx?ID=58,,Common,—,Adventuring Gear,—,0,0.3,L,—
Throwing Knife,https://2e.aonprd.com/Weapons.aspx?ID=113,—,Uncommon,"Agile, Finesse, Thrown, Twin",Weapons,Base Weapons,0,0.3,L,Extinction Curse
War Razor,https://2e.aonprd.com/Weapons.aspx?ID=103,,Common,"Agile, Backstabber, Deadly, Finesse",Weapons,Base Weapons,0,0.3,L,—
Clothing (Winter),https://2e.aonprd.com/Equipment.aspx?ID=15,,Common,—,Adventuring Gear,—,0,0.4,L,—
Hatchet,https://2e.aonprd.com/Weapons.aspx?ID=27,,Common,"Agile, Sweep, Thrown",Weapons,Base Weapons,0,0.4,L,—
Light Mace,https://2e.aonprd.com/Weapons.aspx?ID=5,,Common,"Agile, Finesse, Shove",Weapons,Base Weapons,0,0.4,L,—
Light Pick,https://2e.aonprd.com/Weapons.aspx?ID=30,,Common,"Agile, Fatal",Weapons,Base Weapons,0,0.4,L,—
Rations,https://2e.aonprd.com/Equipment.aspx?ID=40,,Common,—,Adventuring Gear,—,0,0.4,L,—
Tool (Short),https://2e.aonprd.com/Equipment.aspx?ID=59,,Common,—,Adventuring Gear,—,0,0.4,L,—
Bloodeye Coffee,https://2e.aonprd.com/Equipment.aspx?ID=623,—,Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,0,0.5,L,—
Bola,https://2e.aonprd.com/Weapons.aspx?ID=123,,Common,"Nonlethal, Ranged Trip, Thrown",Weapons,Base Weapons,0,0.5,L,—
Climbing Kit,https://2e.aonprd.com/Equipment.aspx?ID=14,,Common,—,Adventuring Gear,—,0,0.5,1,—
Crowbar,https://2e.aonprd.com/Equipment.aspx?ID=18,,Common,—,Adventuring Gear,—,0,0.5,L,—
Dueling Cape,https://2e.aonprd.com/Equipment.aspx?ID=680,,Common,—,Adventuring Gear,—,0,0.5,L,—
Longspear,https://2e.aonprd.com/Weapons.aspx?ID=6,,Common,Reach,Weapons,Base Weapons,0,0.5,2,—
Main-gauche,https://2e.aonprd.com/Weapons.aspx?ID=32,,Common,"Agile, Disarm, Finesse, Parry, Versatile",Weapons,Base Weapons,0,0.5,L,—
Material Component Pouch,https://2e.aonprd.com/Equipment.aspx?ID=33,,Common,—,Adventuring Gear,—,0,0.5,L,—
Parrying Scabbard,https://2e.aonprd.com/Equipment.aspx?ID=682,,Common,—,Adventuring Gear,—,0,0.5,L,—
Playing Cards,https://2e.aonprd.com/Equipment.aspx?ID=873,,Common,—,Adventuring Gear,—,0,0.5,—,—
Rope,https://2e.aonprd.com/Equipment.aspx?ID=44,,Common,—,Adventuring Gear,—,0,0.5,L,—
Ruler,https://2e.aonprd.com/Equipment.aspx?ID=849,,Common,—,Adventuring Gear,—,0,0.5,—,—
Scorpion Whip,https://2e.aonprd.com/Weapons.aspx?ID=114,—,Uncommon,"Disarm, Finesse, Reach, Trip",Weapons,Base Weapons,0,0.5,L,Extinction Curse
Shears,https://2e.aonprd.com/Weapons.aspx?ID=119,—,Uncommon,"Deadly, Finesse, Versatile",Weapons,Base Weapons,0,0.5,L,—
Shield Boss,https://2e.aonprd.com/Weapons.aspx?ID=41,,Common,Attached,Weapons,Base Weapons,0,0.5,—,—
Shield Spikes,https://2e.aonprd.com/Weapons.aspx?ID=42,,Common,Attached,Weapons,Base Weapons,0,0.5,—,—
Chest,https://2e.aonprd.com/Equipment.aspx?ID=13,,Common,—,Adventuring Gear,—,0,0.6,2,—
Kukri,https://2e.aonprd.com/Weapons.aspx?ID=56,,Uncommon,"Agile, Finesse, Trip",Weapons,Base Weapons,0,0.6,L,—
Mambele,https://2e.aonprd.com/Weapons.aspx?ID=96,,Uncommon,"Deadly, Disarm, Thrown",Weapons,Base Weapons,0,0.6,1,—
Sai,https://2e.aonprd.com/Weapons.aspx?ID=59,,Uncommon,"Agile, Disarm, Finesse, Monk, Versatile",Weapons,Base Weapons,0,0.6,L,—
Lantern (Hooded),https://2e.aonprd.com/Equipment.aspx?ID=29,,Common,—,Adventuring Gear,—,0,0.7,L,—
Machete,https://2e.aonprd.com/Weapons.aspx?ID=95,,Common,"Deadly, Sweep",Weapons,Base Weapons,0,0.7,L,—
Orc Knuckle Dagger,https://2e.aonprd.com/Weapons.aspx?ID=58,,Uncommon,"Agile, Disarm, Orc",Weapons,Base Weapons,0,0.7,L,—
Pick,https://2e.aonprd.com/Weapons.aspx?ID=34,,Common,Fatal,Weapons,Base Weapons,0,0.7,1,—
Fishing Tackle,https://2e.aonprd.com/Equipment.aspx?ID=20,,Common,—,Adventuring Gear,—,0,0.8,1,—
Musical Instrument (Handheld),https://2e.aonprd.com/Equipment.aspx?ID=37,,Common,—,Adventuring Gear,—,0,0.8,1,—
Tent (Pup),https://2e.aonprd.com/Equipment.aspx?ID=57,,Common,—,Adventuring Gear,—,0,0.8,L,—
Horsechopper,https://2e.aonprd.com/Weapons.aspx?ID=53,,Uncommon,"Goblin, Reach, Trip, Versatile",Weapons,Base Weapons,0,0.9,2,—
Nine-Ring Sword,https://2e.aonprd.com/Weapons.aspx?ID=99,,Uncommon,Disarm,Weapons,Base Weapons,0,0.9,1,—
Shortsword,https://2e.aonprd.com/Weapons.aspx?ID=43,,Common,"Agile, Finesse, Versatile",Weapons,Base Weapons,0,0.9,L,—
Battle Axe,https://2e.aonprd.com/Weapons.aspx?ID=16,,Common,Sweep,Weapons,Base Weapons,0,1.0,1,—
Brass Ear,https://2e.aonprd.com/Equipment.aspx?ID=677,,Common,—,Adventuring Gear,—,0,1.0,—,—
Buckler,https://2e.aonprd.com/Shields.aspx?ID=1,,Common,—,Shields,Base Shields,0,1.0,L,—
Compass,https://2e.aonprd.com/Equipment.aspx?ID=16,,Common,—,Adventuring Gear,—,0,1.0,L,—
Cookware,https://2e.aonprd.com/Equipment.aspx?ID=17,,Common,—,Adventuring Gear,—,0,1.0,2,—
Depth Gauge,https://2e.aonprd.com/Equipment.aspx?ID=866,,Uncommon,—,Adventuring Gear,—,0,1.0,L,—
Filcher's Fork,https://2e.aonprd.com/Weapons.aspx?ID=51,,Uncommon,"Agile, Backstabber, Deadly, Finesse, Halfling, Thrown",Weapons,Base Weapons,0,1.0,L,—
Flail,https://2e.aonprd.com/Weapons.aspx?ID=19,,Common,"Disarm, Sweep, Trip",Weapons,Base Weapons,0,1.0,1,—
Flayleaf,https://2e.aonprd.com/Equipment.aspx?ID=624,—,Common,"Alchemical, Consumable, Drug, Ingested, Inhaled, Poison",Alchemical Items,Drugs,0,1.0,L,—
Formula Book (Blank),https://2e.aonprd.com/Equipment.aspx?ID=22,,Common,—,Adventuring Gear,—,0,1.0,L,—
Gaff,https://2e.aonprd.com/Weapons.aspx?ID=121,—,Common,"Trip, Versatile",Weapons,Base Weapons,0,1.0,1,—
Glaive,https://2e.aonprd.com/Weapons.aspx?ID=20,,Common,"Deadly, Forceful, Reach",Weapons,Base Weapons,0,1.0,2,—
Greatclub,https://2e.aonprd.com/Weapons.aspx?ID=22,,Common,"Backswing, Shove",Weapons,Base Weapons,0,1.0,2,—
Harrow Carrying Case,https://2e.aonprd.com/Equipment.aspx?ID=823,—,Common,—,Adventuring Gear,—,0,1.0,1,Agents of Edgewatch
Harrow Deck (Simple),https://2e.aonprd.com/Equipment.aspx?ID=824,—,Common,—,Adventuring Gear,—,0,1.0,L,Agents of Edgewatch
Kama,https://2e.aonprd.com/Weapons.aspx?ID=54,,Uncommon,"Agile, Monk, Trip",Weapons,Base Weapons,0,1.0,L,—
Lance,https://2e.aonprd.com/Weapons.aspx?ID=28,,Common,"Deadly, Jousting, Reach",Weapons,Base Weapons,0,1.0,2,—
Lantern (Bull's-Eye),https://2e.aonprd.com/Equipment.aspx?ID=29,,Common,—,Adventuring Gear,—,0,1.0,1,—
Longsword,https://2e.aonprd.com/Weapons.aspx?ID=31,,Common,Versatile,Weapons,Base Weapons,0,1.0,1,—
Mace,https://2e.aonprd.com/Weapons.aspx?ID=7,,Common,Shove,Weapons,Base Weapons,0,1.0,1,—
Marked Playing Cards,https://2e.aonprd.com/Equipment.aspx?ID=873,,Common,—,Adventuring Gear,—,0,1.0,—,—
Mirror,https://2e.aonprd.com/Equipment.aspx?ID=35,,Common,—,Adventuring Gear,—,0,1.0,—,—
Morningstar,https://2e.aonprd.com/Weapons.aspx?ID=8,,Common,Versatile,Weapons,Base Weapons,0,1.0,1,—
Net,https://2e.aonprd.com/Equipment.aspx?ID=681,,Common,—,Adventuring Gear,—,0,1.0,1,—
Nightstick,https://2e.aonprd.com/Weapons.aspx?ID=131,—,Uncommon,"Agile, Finesse, Nonlethal, Parry",Weapons,Base Weapons,0,1.0,L,Agents of Edgewatch
Ogre Hook,https://2e.aonprd.com/Weapons.aspx?ID=86,,Uncommon,"Deadly, Trip",Weapons,Base Weapons,0,1.0,2,—
Religious Text,https://2e.aonprd.com/Equipment.aspx?ID=42,,Common,—,Adventuring Gear,—,0,1.0,L,—
Rubbing Set,https://2e.aonprd.com/Equipment.aspx?ID=874,,Uncommon,—,Adventuring Gear,—,0,1.0,1,—
Scimitar,https://2e.aonprd.com/Weapons.aspx?ID=38,,Common,"Forceful, Sweep",Weapons,Base Weapons,0,1.0,1,—
Spellbook (Blank),https://2e.aonprd.com/Equipment.aspx?ID=53,,Common,—,Adventuring Gear,—,0,1.0,L,—
Tool (Long),https://2e.aonprd.com/Equipment.aspx?ID=59,,Common,—,Adventuring Gear,—,0,1.0,1,—
Trident,https://2e.aonprd.com/Weapons.aspx?ID=45,,Common,Thrown,Weapons,Base Weapons,0,1.0,1,—
Wakizashi,https://2e.aonprd.com/Weapons.aspx?ID=129,,Uncommon,"Agile, Deadly, Finesse, Versatile",Weapons,Base Weapons,0,1.0,L,—
Warhammer,https://2e.aonprd.com/Weapons.aspx?ID=47,,Common,Shove,Weapons,Base Weapons,0,1.0,1,—
Wax Key Blank,https://2e.aonprd.com/Equipment.aspx?ID=878,,Uncommon,—,Adventuring Gear,—,0,1.0,—,—
Wooden Shield,https://2e.aonprd.com/Shields.aspx?ID=2,,Common,—,Shields,Base Shields,0,1.0,1,—
Writing Set,https://2e.aonprd.com/Equipment.aspx?ID=63,,Common,—,Adventuring Gear,—,0,1.0,L,—
Fighting Fan,https://2e.aonprd.com/Weapons.aspx?ID=93,,Uncommon,"Agile, Backstabber, Deadly, Finesse, Monk",Weapons,Base Weapons,0,1.1,L,—
Fauchard,https://2e.aonprd.com/Weapons.aspx?ID=90,,Common,"Deadly, Reach, Sweep, Trip",Weapons,Base Weapons,0,1.4,2,—
Adventurer's Pack,https://2e.aonprd.com/Equipment.aspx?ID=1,,Common,—,Adventuring Gear,—,0,1.5,1,—
Armored Skirt,https://2e.aonprd.com/Equipment.aspx?ID=514,,Common,—,Adventuring Gear,—,0,2.0,1,—
Bladed Diabolo,https://2e.aonprd.com/Weapons.aspx?ID=115,—,Uncommon,"Backswing, Disarm, Finesse, Thrown, Trip",Weapons,Base Weapons,0,2.0,L,Extinction Curse
Clan Dagger,https://2e.aonprd.com/Weapons.aspx?ID=13,,Uncommon,"Agile, Dwarf, Parry, Versatile",Weapons,Base Weapons,0,2.0,L,—
Claw Blade,https://2e.aonprd.com/Weapons.aspx?ID=124,,Uncommon,"Agile, Catfolk, Deadly, Disarm, Finesse, Versatile",Weapons,Base Weapons,0,2.0,L,—
Clothing (Fine),https://2e.aonprd.com/Equipment.aspx?ID=15,,Common,—,Adventuring Gear,—,0,2.0,L,—
Disguise Kit,https://2e.aonprd.com/Equipment.aspx?ID=19,,Common,—,Adventuring Gear,—,0,2.0,L,—
Gnome Hooked Hammer,https://2e.aonprd.com/Weapons.aspx?ID=52,,Uncommon,"Gnome, Trip, Two-Hand, Versatile",Weapons,Base Weapons,0,2.0,1,—
Greataxe,https://2e.aonprd.com/Weapons.aspx?ID=21,,Common,Sweep,Weapons,Base Weapons,0,2.0,2,—
Greatpick,https://2e.aonprd.com/Weapons.aspx?ID=23,,Common,Fatal,Weapons,Base Weapons,0,2.0,2,—
Greatsword,https://2e.aonprd.com/Weapons.aspx?ID=24,,Common,Versatile,Weapons,Base Weapons,0,2.0,2,—
Guisarme,https://2e.aonprd.com/Weapons.aspx?ID=25,,Common,"Reach, Trip",Weapons,Base Weapons,0,2.0,2,—
Halberd,https://2e.aonprd.com/Weapons.aspx?ID=26,,Common,"Reach, Versatile",Weapons,Base Weapons,0,2.0,2,—
Hide Armor,https://2e.aonprd.com/Armor.aspx?ID=7,,Common,—,Armor,Base Armor,0,2.0,2,—
Jellyfish Lamp,https://2e.aonprd.com/Equipment.aspx?ID=495,,Common,—,Adventuring Gear,—,0,2.0,L,—
Katana,https://2e.aonprd.com/Weapons.aspx?ID=55,,Uncommon,"Deadly, Two-Hand, Versatile",Weapons,Base Weapons,0,2.0,1,—
Khakkara,https://2e.aonprd.com/Weapons.aspx?ID=126,,Uncommon,"Shove, Two-Hand, Versatile",Weapons,Base Weapons,0,2.0,1,—
Khopesh,https://2e.aonprd.com/Weapons.aspx?ID=94,,Uncommon,Trip,Weapons,Base Weapons,0,2.0,1,—
Leather Armor,https://2e.aonprd.com/Armor.aspx?ID=4,,Common,—,Armor,Base Armor,0,2.0,1,—
Musical Instrument (Heavy),https://2e.aonprd.com/Equipment.aspx?ID=37,,Common,—,Adventuring Gear,—,0,2.0,16,—
Orc Necksplitter,https://2e.aonprd.com/Weapons.aspx?ID=64,,Uncommon,"Forceful, Orc, Sweep",Weapons,Base Weapons,0,2.0,1,—
Ranseur,https://2e.aonprd.com/Weapons.aspx?ID=35,,Common,"Disarm, Reach",Weapons,Base Weapons,0,2.0,2,—
Rapier,https://2e.aonprd.com/Weapons.aspx?ID=36,,Common,"Deadly, Disarm, Finesse",Weapons,Base Weapons,0,2.0,1,—
Religious Symbol (Silver),https://2e.aonprd.com/Equipment.aspx?ID=41,,Common,—,Adventuring Gear,—,0,2.0,L,—
Repair Kit,https://2e.aonprd.com/Equipment.aspx?ID=43,,Common,—,Adventuring Gear,—,0,2.0,1,—
Scythe,https://2e.aonprd.com/Weapons.aspx?ID=39,,Common,"Deadly, Trip",Weapons,Base Weapons,0,2.0,2,—
Starknife,https://2e.aonprd.com/Weapons.aspx?ID=44,,Common,"Agile, Deadly, Finesse, Thrown, Versatile",Weapons,Base Weapons,0,2.0,L,—
Steel Shield,https://2e.aonprd.com/Shields.aspx?ID=3,,Common,—,Shields,Base Shields,0,2.0,1,—
Temple Sword,https://2e.aonprd.com/Weapons.aspx?ID=61,,Uncommon,"Monk, Trip",Weapons,Base Weapons,0,2.0,1,—
Urumi,https://2e.aonprd.com/Weapons.aspx?ID=102,,Uncommon,"Deadly, Sweep",Weapons,Base Weapons,0,2.0,2,—
War Flail,https://2e.aonprd.com/Weapons.aspx?ID=46,,Common,"Disarm, Sweep, Trip",Weapons,Base Weapons,0,2.0,2,—
Bladed Hoop,https://2e.aonprd.com/Weapons.aspx?ID=116,—,Uncommon,"Finesse, Sweep, Two-Hand",Weapons,Base Weapons,0,2.5,1,Extinction Curse
Alchemist's Tools,https://2e.aonprd.com/Equipment.aspx?ID=2,,Common,—,Adventuring Gear,—,0,3.0,1,—
Bladed Scarf,https://2e.aonprd.com/Weapons.aspx?ID=91,,Uncommon,"Disarm, Reach, Sweep, Trip",Weapons,Base Weapons,0,3.0,1,—
Cart,https://2e.aonprd.com/Vehicles.aspx?ID=3,—,Common,—,Vehicles,—,0,3.0,L,—
Comealong,https://2e.aonprd.com/Equipment.aspx?ID=865,,Uncommon,—,Adventuring Gear,—,0,3.0,1,—
Crossbow,https://2e.aonprd.com/Weapons.aspx?ID=67,,Common,—,Weapons,Base Weapons,0,3.0,1,—
Dwarven War Axe,https://2e.aonprd.com/Weapons.aspx?ID=62,,Uncommon,"Dwarf, Sweep, Two-Hand",Weapons,Base Weapons,0,3.0,2,—
Falchion,https://2e.aonprd.com/Weapons.aspx?ID=18,,Common,"Forceful, Sweep",Weapons,Base Weapons,0,3.0,2,—
Gnome Flickmace,https://2e.aonprd.com/Weapons.aspx?ID=63,,Uncommon,"Gnome, Reach",Weapons,Base Weapons,0,3.0,2,—
Hand Crossbow,https://2e.aonprd.com/Weapons.aspx?ID=69,,Common,—,Weapons,Base Weapons,0,3.0,L,—
Hourglass,https://2e.aonprd.com/Equipment.aspx?ID=27,,Common,—,Adventuring Gear,—,0,3.0,L,—
Maul,https://2e.aonprd.com/Weapons.aspx?ID=33,,Common,Shove,Weapons,Base Weapons,0,3.0,2,—
Meteor Hammer,https://2e.aonprd.com/Weapons.aspx?ID=97,,Common,"Backswing, Disarm, Reach, Trip",Weapons,Base Weapons,0,3.0,2,—
Naginata,https://2e.aonprd.com/Weapons.aspx?ID=98,,Uncommon,"Deadly, Reach, Versatile",Weapons,Base Weapons,0,3.0,2,—
Shortbow,https://2e.aonprd.com/Weapons.aspx?ID=77,,Common,Deadly,Weapons,Base Weapons,0,3.0,1,—
Spiked Chain,https://2e.aonprd.com/Weapons.aspx?ID=60,,Uncommon,"Disarm, Finesse, Trip",Weapons,Base Weapons,0,3.0,1,—
Studded Leather Armor,https://2e.aonprd.com/Armor.aspx?ID=5,,Common,—,Armor,Base Armor,0,3.0,1,—
Thieves' Tools,https://2e.aonprd.com/Equipment.aspx?ID=58,,Common,—,Adventuring Gear,—,0,3.0,L,—
Artisan's Tools,https://2e.aonprd.com/Equipment.aspx?ID=3,,Common,—,Adventuring Gear,—,0,4.0,2,—
Bastard Sword,https://2e.aonprd.com/Weapons.aspx?ID=15,,Common,Two-Hand,Weapons,Base Weapons,0,4.0,1,—
Chain,https://2e.aonprd.com/Equipment.aspx?ID=11,,Common,—,Adventuring Gear,—,0,4.0,1,—
Elven Curve Blade,https://2e.aonprd.com/Weapons.aspx?ID=50,,Uncommon,"Elf, Finesse, Forceful",Weapons,Base Weapons,0,4.0,2,—
Heavy Crossbow,https://2e.aonprd.com/Weapons.aspx?ID=70,,Common,—,Weapons,Base Weapons,0,4.0,2,—
Rhoka Sword,https://2e.aonprd.com/Weapons.aspx?ID=120,—,Uncommon,"Deadly, Two-Hand",Weapons,Base Weapons,0,4.0,2,—
Scale Mail,https://2e.aonprd.com/Armor.aspx?ID=8,,Common,—,Armor,Base Armor,0,4.0,2,—
Tack,https://2e.aonprd.com/Equipment.aspx?ID=55,,Common,—,Adventuring Gear,—,0,4.0,1,—
